playerId,playerName,shirtNumber,playerTeam,playerRole,Full Name,Height,Weight,Age Info,goals,shots,shots_on_target,shots_on_target_pct,shots_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,average_shot_distance,pens_made,pens_att,tackles,tackles_won,blocks,interceptions,clearances,errors,passes_completed,passes_total_distance,passes_progressive_distance,progressive_passes,passes_into_final_third,passes_into_penalty_area,assists,passes_completed_short,passes_completed_medium,passes_completed_long,Market Value,birth_date,age,height_cm
13955,Ali Asad,8,Qatar,AM,Alireza Asadabadi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,395833,,,
13961,Akram Afif,11,Qatar,CF,Akram Afif,177cm,64kg,(Age: 28-209d),3.0,13.0,4.0,30.8,1.01,0.31,0.08,0.25,13.2,0.0,0.0,16.0,13.0,2.0,13.0,8.0,0.0,329.0,6260.0,1706.0,57.0,31.0,17.0,1.333,150.0,117.0,51.0,2757142,,,
13954,Abdulaziz Hatem,6,Qatar,CM,Abdulaziz Hatem,179cm,69kg,(Age: 34-230d),2.0,,,,,,,,,0.0,0.0,,,,,,,,,,,,,1.0,,,,583333,,,
13941,Saad Al-Sheeb,1,Qatar,GK,Saad Al Sheeb,185cm,67kg,(Age: 35-116d),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,0.0,,,,462500,,,
13958,Mohammed Waad,4,Qatar,DM,Mohammed Waad,183cm,68kg,(Age: 25-270d),0.0,1.0,0.0,0.0,0.17,0.0,0.0,,,0.0,0.0,,5.0,,12.0,,,,,,,,,1.0,,,,129166,,,
13960,Hasan Al-Haydos,10,Qatar,CM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2008333,,,
13950,Musab Khoder,13,Qatar,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,215000,1993-09-26,31,176
13959,Mustafa Mashaal,26,Qatar,CM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33333,,,
13943,Yousef Hassan,21,Qatar,GK,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,115000,,,
13945,Boualem Khoukhi,16,Qatar,MCB,Boualem Khoukhi,183cm,76kg,(Age: 34-341d),1.0,,,,,,,,,0.0,0.0,,,,,,,,,,,,,1.0,,,,741666,,,
13953,Karim Boudiaf,12,Qatar,CM,Karim Boudiaf,187cm,63kg,(Age: 34-272d),1.0,,,,,,,,,0.0,0.0,,,,,,,,,,,,,0.0,,,,770833,,,
13951,Homam Ahmed,14,Qatar,LWB,Homam Ahmed,186cm,71kg,(Age: 25-294d),,,,,,,,,,,,,,,,,,,,,,,,,,,,162500,,,
13946,Pedro Miguel,2,Qatar,RCB,Ró-Ró,188cm,76kg,(Age: 34-313d),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13944,Abdelkarim Hassan,3,Qatar,LCB,Abdelkarim Hassan,177cm,78kg,(Age: 31-291d),1.0,12.0,5.0,41.7,1.22,0.51,0.08,0.2,31.4,0.0,0.0,23.0,17.0,15.0,20.0,28.0,0.0,349.0,6226.0,2612.0,25.0,20.0,8.0,1.0,170.0,133.0,35.0,831250,,,
13964,Ahmed Alaaeldin,7,Qatar,CF,Ahmed Alaaeldin,180cm,67kg,(Age: 32-135d),,,,,,,,,,,,,,,,,,,,,,,,,,,,479166,,,
13948,Bassam Al-Rawi,15,Qatar,RCB,Bassam Al-Rawi,175cm,68kg,(Age: 27-181d),,,,,,,,,,,,,,,,,,,,,,,,,,,,379166,,,
11960,Enner Valencia,13,Ecuador,LW,Enner Valencia,174cm,73kg,(Age: 35-223d),6.25,53.25,19.75,37.525,3.09,1.185,0.098,0.245,17.95,1.0,1.5,18.5,15.0,14.5,7.75,6.5,0.0,309.5,4494.5,682.0,33.5,21.5,4.0,3.25,172.0,103.0,18.0,3433333,,,
2134,Moises Caicedo,23,Ecuador,CM,Moisés Caicedo,178cm,74kg,(Age: 23-225d),1.0,10.5,3.0,29.1,1.34,0.395,0.095,0.375,22.1,0.0,0.0,16.5,11.5,13.0,8.5,7.0,0.0,227.0,3701.5,1080.0,31.5,21.0,4.0,1.0,123.5,76.0,20.5,3250000,,,
3750,Ayrton Preciado,9,Ecuador,LW,Ayrton Preciado,182cm,72kg,(Age: 30-333d),3.0,9.0,4.0,44.4,1.71,0.76,0.33,0.75,16.6,0.0,0.0,4.0,1.0,3.0,3.0,2.0,0.0,152.0,2321.0,713.0,20.0,13.0,7.0,1.0,94.0,42.0,14.0,1933333,,,
1287,José Cifuentes,5,Ecuador,CM,José Cifuentes,175cm,72kg,(Age: 26-095d),3.25,51.333,15.667,30.267,2.437,0.723,0.08,0.247,20.133,0.0,0.0,51.0,31.667,29.0,18.0,16.333,0.0,814.333,12759.0,4179.333,153.667,117.0,33.667,3.25,423.333,303.333,52.667,2255555,1999-03-12,26,178
7571,Alan Franco,21,Ecuador,CM,Alan Franco,183cm,77kg,(Age: 26-298d),1.0,12.333,4.333,32.1,0.947,0.307,0.047,0.11,14.533,0.0,0.0,20.333,13.0,12.0,9.667,6.0,0.0,387.0,6030.0,1401.333,44.0,32.667,8.667,0.333,203.0,155.0,19.333,1600000,,,
9837,Jackson Porozo,25,Ecuador,RCB,Jackson Porozo,192cm,84kg,(Age: 24-315d),1.0,6.5,2.0,43.35,0.405,0.17,0.335,0.5,8.55,0.0,0.0,23.0,17.5,18.5,30.0,69.5,0.5,493.5,9473.5,2899.0,16.0,7.0,0.0,0.0,150.0,298.0,40.5,660000,,,
13938,William Pacho,6,Ecuador,LCB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1350000,2001-10-16,23,187
13936,Robert Arboleda,4,Ecuador,RCB,Robert Arboleda,180cm,69kg,(Age: 33-236d),0.75,14.75,4.5,30.425,0.87,0.258,0.05,0.165,14.325,0.0,0.0,23.75,15.25,22.25,21.75,99.5,0.5,834.25,15077.75,5490.5,54.75,43.75,1.0,0.25,331.0,411.75,72.5,1937500,,,
13939,Djorkaeff Reasco,24,Ecuador,CF,Djorkaeff Reasco,172cm,71kg,(Age: 26-148d),4.0,18.0,7.0,38.9,3.26,1.27,0.06,0.14,21.8,0.5,0.5,6.0,3.0,3.0,0.0,3.0,0.0,81.0,1263.0,227.0,12.0,5.0,3.0,1.0,40.0,37.0,3.0,221428,,,
13937,Angelo Preciado,17,Ecuador,RWB,Ángelo Preciado,173cm,73kg,(Age: 27-117d),1.0,4.5,1.0,20.0,0.585,0.17,0.0,0.0,19.4,0.0,0.0,17.0,13.0,12.0,9.0,22.5,0.5,415.0,7109.0,2495.5,42.5,23.0,13.0,2.0,204.5,158.5,41.0,1287500,,,
3734,Félix Torres,2,Ecuador,MCB,Félix Torres Caicedo,187cm,78kg,(Age: 28-155d),1.5,12.0,2.333,20.5,0.55,0.107,0.08,0.417,12.1,0.0,0.0,21.0,11.667,19.667,40.667,85.333,0.667,502.333,11019.0,5702.333,56.667,39.667,1.0,0.0,143.0,258.0,95.0,1872727,,,
5195,Piero Hincapie,3,Ecuador,LCB,Piero Hincapié,182cm,64kg,(Age: 23-157d),1.0,9.0,1.0,11.1,0.46,0.05,0.11,1.0,15.1,0.0,0.0,33.0,23.0,34.0,33.0,56.0,2.0,971.0,16256.0,5693.0,73.0,49.0,9.0,2.0,439.0,440.0,68.0,3971428,,,
1034,Jhegson Méndez,20,Ecuador,CM,Jhegson Méndez,171cm,69kg,(Age: 28-050d),,,,,,,,,,,,,,,,,,,,,,,,,,,,995000,,,
13933,Moises Ramirez,12,Ecuador,GK,Moisés Ramírez,188cm,74kg,(Age: 24-279d),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,315000,,,
13940,Kevin Rodriguez,26,Ecuador,CF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1406,Pervis Estupinan,7,Ecuador,LWB,Pervis Estupiñán,175cm,78kg,(Age: 27-145d),1.0,14.333,3.667,29.7,0.713,0.227,0.017,0.167,18.667,0.0,0.0,52.333,28.0,17.667,39.333,34.667,3.333,882.333,14007.667,5303.0,79.0,51.0,37.0,2.0,470.0,315.333,69.333,8946153,,,
13049,Gonzalo Plata,19,Ecuador,RW,Gonzalo Plata,178cm,72kg,(Age: 24-226d),3.5,41.0,14.5,35.35,1.805,0.64,0.08,0.23,17.5,0.0,0.0,66.0,36.5,40.0,15.5,10.0,1.0,582.0,7367.0,1681.0,54.0,28.0,19.0,5.0,387.0,145.0,18.0,2530000,,,
3519,Michael Estrada,11,Ecuador,CF,Michael Estrada,188cm,86kg,(Age: 29-069d),4.667,33.0,9.333,26.3,2.677,0.67,0.117,0.4,19.0,0.667,0.667,6.0,3.667,4.333,1.667,6.333,0.0,121.0,1897.333,374.333,16.667,13.333,5.333,2.667,62.0,43.667,8.667,2180000,,,
1166,Xavier Arreaga,14,Ecuador,LCB,Xavier Arreaga,183cm,83kg,(Age: 30-260d),0.75,7.0,2.75,35.825,0.377,0.133,0.077,0.165,15.45,0.0,0.0,26.0,16.0,20.75,32.5,67.25,0.75,807.5,16734.0,6414.0,46.0,39.75,1.5,0.25,236.75,446.25,117.75,1072500,,,
1279,Diego Palacios,18,Ecuador,LB,Diego Palacios,165cm,66kg,(Age: 25-338d),0.333,12.333,3.333,20.667,0.593,0.15,0.023,0.1,22.3,0.0,0.0,61.0,40.0,20.333,41.333,39.333,0.0,983.333,15401.0,5252.667,107.667,81.0,26.333,2.0,540.0,358.0,61.667,1562500,,,
13934,Alexander Dominguez,22,Ecuador,GK,Alexander Domínguez,195cm,76kg,(Age: 38-010d),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,,,,,,,,0.0,,,,781250,,,
13935,Hernan Galindez,1,Ecuador,GK,Hernán Galíndez,189cm,89kg,(Age: 38-077d),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,,0.0,,,,,,,,,0.5,,,,611111,,,
3441,Ángel Mena,15,Ecuador,RW,Ángel Mena,170cm,69kg,(Age: 37-145d),13.0,46.75,20.75,45.575,2.118,0.955,0.18,0.38,17.85,5.0,6.0,23.5,13.0,14.25,9.0,10.5,0.25,798.75,12662.25,2699.5,103.0,68.0,35.0,5.5,430.25,283.0,61.25,2390909,,,
3460,Romario Ibarra,10,Ecuador,LW,Romario Ibarra,175cm,77kg,(Age: 30-264d),2.0,23.0,7.333,30.667,1.883,0.543,0.08,0.28,17.567,0.0,0.0,19.667,10.0,10.0,5.0,3.667,0.0,254.0,3805.0,1066.667,41.333,22.0,17.667,1.0,140.333,92.0,12.333,1117500,1994-09-24,30,176
6596,Jeremy Sarmiento,16,Ecuador,AM,Jeremy Sarmiento,183cm,73kg,(Age: 22-364d),,,,,,,,,,,,,,,,,,,,,,,,,,,,300000,,,
4560,Carlos Gruezo,8,Ecuador,DM,Carlos Gruezo,,,(Age: 25-093d),,,,,,,,,,,,,,,,,,,,,,,,,,,,3209090,,,
13901,Pape Abou Cissé,4,Senegal,RCB,Pape Abou Cissé,197cm,83kg,(Age: 29-274d),1.25,13.0,3.0,23.1,0.93,0.21,0.0,0.0,13.0,0.0,0.0,15.0,13.0,7.0,27.0,87.0,0.0,521.0,11246.0,4984.0,31.0,31.0,1.0,0.25,159.0,262.0,93.0,4900000,,,
14046,Moussa N'Diaye,10,Senegal,LB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,383333,,,
428,Ismaïla Sarr,18,Senegal,RM,Ismaila Sarr,180cm,69kg,(Age: 27-110d),7.75,55.0,19.25,34.875,1.935,0.675,0.125,0.363,16.925,0.75,1.0,23.0,16.5,14.75,15.5,9.0,0.0,533.25,7385.5,1974.25,75.25,31.25,35.25,4.0,325.0,145.0,28.25,22653846,,,
13055,Nicolas Jackson,7,Senegal,RW,Nicolas Jackson,186cm,78kg,(Age: 23-360d),1.0,15.0,5.0,33.3,1.87,0.62,0.07,0.2,,0.0,0.0,,7.0,,3.0,,,,,,,,,1.0,,,,275000,,,
9700,Moustapha Name,24,Senegal,CM,Moustapha Name,185cm,69kg,(Age: 30-041d),3.667,27.667,9.667,31.067,1.397,0.413,0.097,0.233,,0.667,1.0,,,,,,,,,,,,,,,,,630000,,,
8552,Mamadou Loum,25,Senegal,DM,Mamadou Loum,193cm,86kg,(Age: 28-167d),2.0,33.0,8.0,24.2,1.28,0.31,0.06,0.25,21.3,0.0,0.0,49.0,22.0,30.0,37.0,68.0,1.0,606.0,11052.0,3266.0,72.0,60.0,3.0,0.0,259.0,265.0,75.0,3140909,,,
2144,Iliman Ndiaye,13,Senegal,AM,Iliman Ndiaye,180cm,74kg,(Age: 25-101d),7.0,37.0,16.0,43.2,1.82,0.79,0.19,0.44,13.8,0.0,0.0,49.0,29.0,31.0,7.0,5.0,0.0,568.0,7032.0,1385.0,60.0,41.0,21.0,2.0,378.0,149.0,7.0,450000,,,
13032,Pathe Ciss,11,Senegal,CM,Pathé Ciss,178cm,71kg,(Age: 31-091d),2.667,25.333,6.667,30.067,1.433,0.403,0.143,0.433,26.8,0.0,0.0,31.0,25.333,16.0,33.667,27.0,0.0,435.0,8270.0,2398.0,55.0,52.0,3.0,1.0,177.0,184.0,62.0,566666,,,
12154,Famara Diedhiou,19,Senegal,CF,Famara Diedhiou,192cm,79kg,(Age: 32-182d),11.0,68.5,27.0,43.45,2.452,1.03,0.167,0.377,15.333,1.0,1.5,24.333,11.0,20.0,5.25,55.667,0.333,412.333,5777.333,1195.667,49.0,37.0,15.333,1.0,260.333,109.333,22.333,4590000,1992-12-15,32,189
9993,Kalidou Koulibaly,3,Senegal,RCB,Kalidou Koulibaly,195cm,88kg,(Age: 33-360d),1.25,13.5,5.0,38.4,0.492,0.177,0.102,0.18,12.725,0.0,0.0,46.75,30.0,42.5,32.25,89.75,1.0,1696.25,30465.0,12920.75,129.75,124.0,7.75,0.75,724.5,768.5,170.25,60333333,,,
7988,Boulaye Dia,9,Senegal,CF,Boulaye Dia,180cm,74kg,(Age: 28-211d),7.25,38.25,14.75,39.325,2.175,0.845,0.152,0.385,14.875,1.5,1.5,14.5,8.25,9.5,7.0,16.5,0.25,254.75,3538.0,590.25,26.25,13.0,8.75,1.75,145.5,79.25,12.25,8350000,,,
3848,Abdou Diallo,22,Senegal,LCB,Abdou Diallo,183cm,72kg,(Age: 29-042d),0.25,5.25,1.75,32.5,0.3,0.1,0.025,0.083,11.6,0.0,0.0,23.5,14.0,14.5,17.75,44.5,0.5,1109.25,19597.0,7304.25,84.0,75.75,6.75,1.0,484.5,498.75,106.25,25300000,,,
3998,Alfred Gomis,23,Senegal,GK,Alfred Gomis,196cm,86kg,(Age: 31-283d),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.25,0.5,1.25,9.75,1.25,440.25,12472.25,9388.75,0.0,5.25,0.0,0.0,79.25,215.75,144.0,5044444,,,
6919,Timothy Dieng,1,Senegal,GK,Seny Dieng,191cm,89kg,(Age: 30-204d),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.333,0.0,0.333,14.5,2.0,913.5,24928.5,18148.5,0.5,21.5,0.0,0.0,216.0,413.5,278.0,600000,,,
4152,Pape Sarr,17,Senegal,CM,Pape Matar Sarr,180cm,68kg,(Age: 22-274d),2.0,31.0,8.0,25.8,1.53,0.395,0.065,0.255,28.45,0.0,0.0,45.0,27.5,28.5,28.0,19.0,0.0,816.0,14397.0,3621.5,107.0,81.0,10.0,1.5,373.0,322.0,92.5,13250000,,,
214,Nampalys Mendy,6,Senegal,CM,Nampalys Mendy,168cm,68kg,(Age: 32-357d),0.0,2.5,1.5,75.0,0.17,0.105,0.0,0.0,26.9,0.0,0.0,19.0,11.5,9.5,12.5,9.5,0.5,739.5,11263.5,2197.0,51.0,57.0,0.5,0.5,387.5,271.5,43.0,6863636,,,
3903,Krépin Diatta,15,Senegal,LM,Krépin Diatta,175cm,69kg,(Age: 26-110d),8.0,49.5,22.5,45.35,2.82,1.285,0.16,0.355,17.75,0.0,0.0,32.0,23.0,15.0,10.0,4.5,0.0,596.0,9307.5,3107.5,94.5,46.5,37.0,2.5,337.5,204.0,40.0,13066666,,,
2059,Edouard Mendy,16,Senegal,GK,Edouard Mendy,197cm,86kg,(Age: 33-106d),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.333,0.0,0.0,0.333,9.0,2.667,755.333,17731.667,11863.0,0.0,4.0,0.0,0.0,208.333,346.667,183.0,15461538,,,
9545,Formose Mendy,2,Senegal,RCB,Formose Mendy,191cm,76kg,(Age: 24-164d),0.5,14.0,4.0,28.6,0.48,0.14,0.07,0.25,,0.0,0.0,,38.0,,68.0,,,,,,,,,0.0,,,,380000,,,
3996,Bamba Dieng,20,Senegal,CF,Bamba Dieng,178cm,78kg,(Age: 25-084d),7.0,36.0,18.0,50.0,3.32,1.66,0.17,0.33,11.9,1.0,1.0,17.0,11.0,7.0,5.0,8.0,0.0,144.0,1799.0,302.0,15.0,6.0,7.0,1.0,84.0,39.0,2.0,3550000,,,
3978,Pape Gueye,26,Senegal,DM,Pape Gueye,187cm,64kg,(Age: 26-142d),0.5,28.333,4.667,17.533,1.363,0.22,0.04,0.167,23.3,0.0,0.0,43.5,22.0,20.0,38.0,25.0,0.0,1006.5,17201.5,4129.0,109.0,109.5,7.5,0.75,495.0,396.0,93.0,4240909,,,
3895,Ismail Jakobs,14,Senegal,LB,Ismail Jakobs,183cm,74kg,(Age: 25-302d),1.0,15.0,5.333,32.433,0.83,0.287,0.053,0.13,15.833,0.0,0.0,30.333,16.333,19.667,19.0,32.333,0.0,485.667,7553.333,2509.667,43.0,24.667,19.667,1.333,271.667,157.333,38.0,3145833,,,
3858,Idrissa Gueye,5,Senegal,CM,Idrissa Gana Gueye,174cm,63kg,(Age: 35-262d),1.5,18.25,5.25,28.6,0.903,0.268,0.083,0.263,22.325,0.0,0.0,82.5,48.5,32.5,37.75,21.25,1.0,1447.75,22254.75,6401.0,171.5,159.0,13.25,1.5,766.5,524.5,91.5,,,,
13228,Youssouf Sabaly,21,Senegal,RB,Youssouf Sabaly,174cm,68kg,(Age: 32-102d),0.25,8.5,1.75,21.35,0.48,0.103,0.02,0.125,20.625,0.0,0.0,30.75,21.5,17.25,26.5,34.5,0.75,880.0,12629.5,4546.25,77.0,53.25,16.25,1.25,524.75,291.25,36.0,7450000,1993-03-05,32,173
8584,Fode Ballo-Toure,12,Senegal,LB,Fodé Ballo-Touré,182cm,69kg,(Age: 28-163d),0.0,3.25,1.25,41.25,0.292,0.128,0.0,0.0,14.075,0.0,0.0,30.25,21.75,10.75,15.25,24.75,0.75,476.25,7480.75,2472.5,48.0,35.75,13.0,1.5,260.0,173.0,32.25,6807692,,,
474,Cheikhou Kouyaté,8,Senegal,CM,Cheikhou Kouyaté,193cm,79kg,,0.5,14.5,3.5,21.325,0.58,0.145,0.045,0.25,16.5,0.0,0.0,59.0,35.0,36.5,32.25,63.75,0.75,726.5,11687.5,3925.25,59.0,49.0,4.75,1.0,356.25,287.75,53.25,8909090,,,
8327,Marten De Roon,15,Netherlands,CM,Marten de Roon,185cm,76kg,(Age: 34-078d),2.0,24.5,5.0,20.325,0.793,0.162,0.073,0.368,23.4,0.25,0.25,82.0,47.5,40.0,53.25,43.75,0.25,1750.75,30507.5,9967.25,221.5,213.25,24.5,2.25,803.5,748.25,163.5,20777777,,,
11094,Cody Gakpo,8,Netherlands,AM,Cody Gakpo,187cm,78kg,(Age: 26-039d),8.667,54.0,20.0,37.267,2.837,1.053,0.16,0.43,17.233,0.333,0.333,18.667,9.333,19.333,13.0,12.667,0.333,493.0,6745.333,2272.667,70.667,35.667,30.667,7.0,302.667,117.333,33.0,6640000,,,
8026,Daley Blind,17,Netherlands,LWB,Daley Blind,180cm,72kg,(Age: 35-098d),1.75,24.0,6.75,26.75,0.91,0.242,0.06,0.202,21.2,0.0,0.0,42.75,24.25,30.0,40.25,49.75,2.25,2085.25,38242.0,17211.5,352.75,316.5,47.75,2.0,873.5,956.25,224.0,18850000,,,
8134,Denzel Dumfries,22,Netherlands,RWB,Denzel Dumfries,188cm,79kg,(Age: 29-058d),4.5,37.75,12.5,33.225,1.425,0.483,0.105,0.315,12.35,0.25,0.25,48.75,27.0,31.0,32.0,57.25,0.25,1114.75,16911.75,5752.5,116.0,76.5,23.25,4.75,617.25,400.25,57.0,12083333,1996-04-18,29,188
84,Steven Bergwijn,7,Netherlands,CF,Steven Bergwijn,178cm,73kg,(Age: 27-250d),3.0,19.5,9.0,45.675,1.915,0.907,0.168,0.367,16.7,0.25,0.25,9.0,4.75,7.25,3.25,6.75,0.0,319.0,3782.0,709.25,29.5,12.25,13.5,3.75,211.75,68.75,7.0,22166666,,,
8342,Memphis Depay,10,Netherlands,CF,Memphis,176cm,73kg,(Age: 31-122d),12.75,78.25,32.75,43.175,3.393,1.445,0.13,0.302,20.725,3.25,4.0,7.5,4.75,9.0,4.75,2.5,0.25,764.75,11427.25,3501.5,107.0,60.5,41.75,6.5,441.75,186.5,73.25,44666666,,,
1812,Luuk de Jong,9,Netherlands,CF,Luuk de Jong,188cm,79kg,(Age: 34-292d),11.0,66.25,28.75,41.075,3.133,1.318,0.167,0.402,10.825,0.0,0.0,21.25,11.5,16.0,5.25,24.5,0.25,361.75,4461.75,832.5,37.5,27.0,9.25,1.75,219.0,89.25,11.0,9454545,,,
8123,Stefan De Vrij,6,Netherlands,RCB,Stefan de Vrij,189cm,78kg,(Age: 33-130d),1.75,17.5,4.75,27.9,0.608,0.16,0.098,0.312,11.0,0.0,0.0,31.0,19.75,26.75,37.5,90.75,0.5,1586.25,31754.5,10064.75,88.25,64.75,4.0,0.75,448.5,949.0,170.0,49300000,,,
4586,Jeremie Frimpong,26,Netherlands,RB,Jeremie Frimpong,172cm,67kg,(Age: 24-187d),1.333,11.333,5.333,47.333,0.653,0.323,0.127,0.263,19.2,0.0,0.0,32.0,12.333,24.0,8.667,40.0,2.0,970.0,14028.0,3966.0,70.0,45.0,22.0,3.0,580.0,311.0,51.0,7211111,2000-12-10,24,172
3861,Xavi Simons,25,Netherlands,AM,Xavi Simons,168cm,60kg,(Age: 22-055d),,,,,,,,,,,,,,,,,,,,,,,,,,,,833333,2003-04-21,22,179
8032,Kenneth Taylor,24,Netherlands,CM,Kenneth Taylor,178cm,73kg,(Age: 23-030d),5.0,21.333,9.667,43.667,1.513,0.66,0.163,0.357,17.1,2.0,2.333,14.0,17.667,10.0,17.0,3.0,0.0,336.0,4551.0,1426.0,47.0,39.0,18.0,2.667,204.0,98.0,13.0,2343750,2002-05-16,23,182
5009,Wout Weghorst,19,Netherlands,CF,Wout Weghorst,197cm,83kg,(Age: 32-312d),11.0,59.25,25.75,41.475,2.34,0.993,0.14,0.33,13.0,1.75,2.25,14.5,8.0,15.0,3.5,20.0,0.25,401.0,5068.5,1098.0,47.25,30.0,11.75,3.75,251.75,93.75,17.75,18607142,1992-08-07,32,197
3315,Vincent Janssen,18,Netherlands,CF,Vincent Janssen,180cm,78kg,(Age: 31-000d),2.667,45.0,17.0,36.933,3.707,1.383,0.073,0.193,16.967,0.0,0.333,8.667,5.333,7.0,1.667,2.667,0.0,195.667,3150.667,717.0,37.333,16.667,12.333,0.667,105.0,66.333,16.667,7136363,,,
10703,Tyrell Malacia,16,Netherlands,LB,Tyrell Malacia,175cm,68kg,(Age: 25-302d),0.333,25.0,5.0,26.233,0.913,0.197,0.007,0.037,21.767,0.0,0.0,57.0,38.333,22.0,31.667,39.667,0.333,1209.0,19288.667,5708.667,105.333,89.0,35.333,1.667,662.333,415.0,94.667,3613333,,,
8033,Davy Klaassen,14,Netherlands,AM,Davy Klaassen,185cm,78kg,(Age: 32-114d),9.333,41.0,18.0,43.7,1.653,0.73,0.21,0.497,13.9,0.667,1.667,39.333,25.667,30.333,23.333,24.667,0.667,847.333,12549.333,3673.0,121.667,93.667,24.333,2.667,469.0,275.667,53.667,16727272,,,
11099,Justin Bijlow,13,Netherlands,GK,Justin Bijlow,188cm,73kg,(Age: 27-144d),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.75,1.0,5.5,0.75,367.5,10119.5,7541.25,0.25,5.25,0.0,0.0,64.0,186.25,116.5,4980769,1998-01-22,27,188
9093,Noa Lang,12,Netherlands,LW,Noa Lang,179cm,72kg,(Age: 25-363d),10.5,63.5,26.0,40.65,2.86,1.22,0.155,0.385,15.65,0.5,0.5,19.0,13.5,17.0,9.5,2.5,0.0,898.0,13901.5,4469.0,182.0,103.0,72.0,9.5,509.0,302.0,62.5,7180769,1999-06-17,25,170
8034,Steven Berghuis,11,Netherlands,AM,Steven Berghuis,180cm,74kg,(Age: 33-178d),13.25,90.0,34.25,37.55,3.223,1.235,0.103,0.285,20.85,4.25,5.0,32.75,19.75,14.75,9.5,7.0,0.25,1331.75,24026.25,7836.25,239.25,151.75,87.75,10.5,651.5,437.75,193.25,12333333,,,
8020,Remko Pasveer,1,Netherlands,GK,Remko Pasveer,187cm,87kg,(Age: 41-219d),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,1.0,0.25,0.5,5.25,1.75,625.0,17922.0,14528.5,0.5,29.75,1.75,0.5,126.5,270.0,226.75,375000,,,
