playerId,playerNickname,shirtNumber,playerTeam,playerRole,Full Name,Height,Weight,Age Info,goals,shots,shots_on_target,shots_on_target_pct,shots_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,average_shot_distance,pens_made,pens_att,Market Value,birth_date,age,height_cm
8078,Manuel Ugarte,25,Uruguay,DM,Manuel Ugarte Ribeiro,182cm,73kg,(Age: 23-355d),0.75,11.5,1.5,9.4,0.76,0.09,0.03,0.33,,0.0,0.0,2891666.0,2001-04-11,23.0,182.0
169,Jordan Pickford,1,England,GK,Jordan Pickford,185cm,77kg,(Age: 31-025d),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29000000.0,1994-03-07,31.0,185.0
485,Nick Pope,13,England,GK,Nick Pope,190cm,76kg,(Age: 32-347d),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11409090.0,1992-04-19,32.0,198.0
220,James Maddison,25,England,AM,James Maddison,175cm,72kg,(Age: 28-129d),8.25,75.5,25.0,33.225,2.745,0.912,0.108,0.318,22.45,0.25,0.5,43428571.0,1996-11-23,28.0,175.0
1377,Kieran Trippier,12,England,RB,Kieran Trippier,178cm,66kg,(Age: 34-194d),0.0,2.667,0.333,11.1,0.143,0.013,0.0,0.0,20.867,0.0,0.0,26076923.0,1990-09-19,34.0,173.0
118,Harry Maguire,6,England,LCB,Harry Maguire,188cm,78kg,(Age: 32-027d),1.75,30.0,9.75,33.575,0.935,0.315,0.058,0.175,13.175,0.0,0.0,45600000.0,1993-03-05,32.0,194.0
42,Trent Alexander-Arnold,18,England,RB,Trent Alexander-Arnold,175cm,68kg,(Age: 26-176d),2.25,44.75,12.25,27.925,1.387,0.383,0.05,0.18,24.15,0.0,0.0,71307692.0,1998-10-07,26.0,175.0
311,Callum Wilson,24,England,CF,Callum Wilson,180cm,66kg,(Age: 33-033d),10.5,49.0,19.0,38.275,2.005,0.77,0.18,0.465,12.95,1.75,2.0,21125000.0,1992-02-27,33.0,180.0
74,Eric Dier,15,England,RCB,Eric Dier,188cm,87kg,(Age: 31-076d),0.75,11.0,2.5,22.725,0.49,0.11,0.083,0.25,16.05,0.0,0.0,29307692.0,1994-01-15,31.0,191.0
123,Luke Shaw,3,England,LB,Luke Shaw,185cm,74kg,(Age: 29-263d),0.5,12.25,4.75,37.5,0.502,0.19,0.035,0.078,20.0,0.0,0.0,24892857.0,1995-07-12,29.0,178.0
136,Marcus Rashford,11,England,LW,Marcus Rashford,180cm,69kg,(Age: 27-152d),10.5,68.0,31.0,47.25,2.558,1.185,0.143,0.3,18.875,1.5,2.0,74916666.0,1997-10-31,27.0,185.0
4677,Jude Bellingham,22,England,CM,Jude Bellingham,186cm,74kg,(Age: 21-276d),2.667,42.667,10.667,25.0,1.623,0.403,0.06,0.237,18.867,0.0,0.0,35937500.0,2003-06-29,21.0,186.0
163,Bukayo Saka,17,England,RM,Bukayo Saka,178cm,64kg,(Age: 23-208d),5.667,56.333,17.667,31.367,1.897,0.6,0.083,0.27,17.033,0.667,0.667,36333333.0,2001-09-05,23.0,178.0
265,Declan Rice,4,England,CM,Declan Rice,185cm,77kg,(Age: 26-077d),1.5,26.0,7.25,27.625,0.75,0.21,0.05,0.195,21.4,0.25,0.5,43321428.0,1999-01-14,26.0,188.0
1,Harry Kane,9,England,CF,Harry Kane,188cm,73kg,(Age: 31-247d),18.75,109.75,43.25,40.125,3.465,1.378,0.143,0.36,17.95,3.5,3.5,130000000.0,1993-07-28,31.0,188.0
2052,Conor Gallagher,26,England,CM,Conor Gallagher,182cm,73kg,(Age: 25-054d),4.0,39.0,12.75,30.5,1.53,0.48,0.087,0.257,19.925,0.0,0.0,9725000.0,2000-02-06,25.0,182.0
47,Jordan Henderson,8,England,CM,Jordan Henderson,182cm,67kg,(Age: 34-288d),2.0,20.25,4.75,23.575,0.833,0.197,0.098,0.52,20.4,0.0,0.0,26545454.0,1990-06-17,34.0,182.0
16,Kyle Walker,2,England,RB,Kyle Walker-Peters,173cm,63kg,(Age: 27-353d),0.333,15.333,4.667,21.933,0.587,0.16,0.013,0.07,17.667,0.0,0.0,10083333.0,1997-04-13,27.0,173.0
371,Jack Grealish,7,England,LW,Jack Grealish,175cm,68kg,(Age: 29-203d),5.75,58.0,19.5,33.825,2.09,0.708,0.098,0.29,17.6,0.0,0.25,49041666.0,1995-09-10,29.0,180.0
231,Conor Coady,16,England,RCB,Conor Coady,185cm,78kg,(Age: 32-035d),1.25,4.75,1.5,30.95,0.128,0.04,0.235,0.75,12.05,0.0,0.0,15076923.0,1993-02-25,32.0,185.0
25,Raheem Sterling,10,England,LW,Raheem Sterling,170cm,69kg,(Age: 30-114d),15.0,74.25,31.75,43.35,2.63,1.125,0.193,0.453,14.1,0.5,1.5,111909090.0,1994-12-08,30.0,170.0
21,Phil Foden,20,England,RW,Phil Foden,169cm,69kg,(Age: 24-308d),7.667,45.333,18.667,41.4,2.773,1.147,0.17,0.407,15.433,0.0,0.0,37071428.0,2000-05-28,24.0,171.0
105,Mason Mount,19,England,AM,Mason Mount,175cm,63kg,(Age: 26-081d),8.0,81.0,27.75,34.35,2.623,0.903,0.092,0.27,20.05,0.5,0.5,33708333.0,1999-01-10,26.0,181.0
10,John Stones,5,England,RCB,John Stones,188cm,69kg,(Age: 30-308d),1.25,8.75,3.0,31.4,0.54,0.19,0.095,0.25,11.825,0.0,0.0,42785714.0,1994-05-28,30.0,188.0
2005,Kalvin Phillips,14,England,DM,Kalvin Phillips,177cm,68kg,(Age: 29-120d),1.0,16.667,5.0,29.433,0.653,0.183,0.057,0.163,26.1,0.0,0.0,19153846.0,1995-12-02,29.0,179.0
281,Aaron Ramsdale,23,England,GK,Aaron Ramsdale,195cm,79kg,(Age: 26-322d),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10770833.0,1998-05-14,26.0,190.0
7138,Matt Smith,26,Wales,DM,Matthew Smith,175cm,71kg,(Age: 25-130d),0.5,13.5,2.5,17.85,0.785,0.135,0.025,0.125,20.1,0.0,0.0,933333.0,1999-11-22,25.0,175.0
1698,Gareth Bale,11,Wales,CF,Gareth Bale,185cm,73kg,,6.5,36.0,15.5,42.65,3.265,1.425,0.175,0.375,18.0,0.0,0.0,42866666.0,1989-07-16,35.0,186.0
6930,Adam Davies,21,Wales,GK,Adam Davies,191cm,74kg,(Age: 32-258d),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,567857.0,1992-07-17,32.0,185.0
6935,Joe Allen,7,Wales,CM,Joe Allen,168cm,62kg,(Age: 35-018d),1.333,20.667,4.333,16.933,0.81,0.18,0.04,0.22,18.567,0.0,0.0,8054545.0,1990-03-14,35.0,170.0
462,Wayne Hennessey,1,Wales,GK,Wayne Hennessey,196cm,84kg,(Age: 38-067d),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2920000.0,1987-01-24,38.0,198.0
8062,Aaron Ramsey,10,Wales,CM,Aaron Ramsey,182cm,72kg,(Age: 34-096d),2.5,26.0,10.0,38.95,2.19,0.84,0.095,0.255,16.0,0.0,0.0,28250000.0,1990-12-26,34.0,178.0
10039,Joe Morrell,16,Wales,CM,Joe Morrell,172cm,64kg,,0.333,12.333,4.667,45.1,0.6,0.273,0.017,0.043,29.7,0.0,0.0,425000.0,1997-01-03,28.0,168.0
2083,Joe Rodon,6,Wales,MCB,Joe Rodon,179cm,72kg,(Age: 27-161d),0.0,5.0,0.5,5.55,0.285,0.025,0.0,0.0,10.65,0.0,0.0,5022727.0,1997-10-22,27.0,193.0
13847,Dylan Levitt,23,Wales,CM,Dylan Levitt,181cm,73kg,(Age: 24-135d),5.0,27.0,10.0,37.0,1.2,0.44,0.19,0.5,,0.0,0.0,691666.0,2000-11-17,24.0,180.0
7955,Rubin Colwill,25,Wales,AM,Rubin Colwill,189cm,74kg,(Age: 22-339d),5.0,31.0,10.0,32.3,1.67,0.54,0.16,0.5,19.4,0.0,0.0,533333.0,2002-04-27,22.0,189.0
589,Neco Williams,3,Wales,LWB,Neco Williams,183cm,76kg,(Age: 23-353d),2.0,19.0,6.0,31.6,1.43,0.45,0.11,0.33,26.7,0.0,0.0,7333333.0,2001-04-13,23.0,183.0
7399,Ben Cabango,24,Wales,RCB,Ben Cabango,188cm,81kg,(Age: 24-306d),2.0,13.333,4.0,30.7,0.47,0.143,0.157,0.5,11.033,0.0,0.0,4666666.0,2000-05-30,24.0,186.0
6018,Connor Roberts,14,Wales,RWB,Connor Roberts,175cm,69kg,(Age: 29-190d),2.333,21.667,6.667,40.7,0.637,0.203,0.127,0.3,19.667,0.0,0.0,3309090.0,1995-09-23,29.0,175.0
7008,Brennan Johnson,9,Wales,CF,Brennan Johnson,178cm,73kg,(Age: 23-313d),13.0,87.0,35.0,40.1,2.195,0.89,0.13,0.325,16.6,2.0,2.5,700000.0,2001-05-23,23.0,186.0
308,Harry Wilson,8,Wales,CM,Harry Wilson,173cm,69kg,(Age: 28-010d),9.75,82.25,26.75,32.8,2.71,0.893,0.115,0.34,21.325,0.5,0.5,14192307.0,1997-03-22,28.0,173.0
7714,Mark Harris,19,Wales,CF,Mark Harris,182cm,74kg,(Age: 26-093d),2.75,15.5,6.5,48.65,1.225,0.585,0.255,0.49,16.45,0.0,0.0,625000.0,1998-12-29,26.0,182.0
7966,Kieffer Moore,13,Wales,CF,Kieffer Moore,196cm,83kg,(Age: 32-236d),11.667,76.667,26.333,34.933,2.7,0.95,0.123,0.347,13.567,2.0,2.0,2916666.0,1992-08-08,32.0,196.0
286,Chris Mepham,5,Wales,RCB,Chris Mepham,191cm,77kg,(Age: 27-147d),0.5,5.5,1.0,17.975,0.405,0.083,0.06,0.5,11.775,0.0,0.0,8150000.0,1997-11-05,27.0,190.0
1931,Ethan Ampadu,15,Wales,CM,Ethan Ampadu,175cm,69kg,(Age: 24-199d),0.0,7.0,1.5,21.45,0.29,0.065,0.0,0.0,19.75,0.0,0.0,10181818.0,2000-09-14,24.0,182.0
11018,Chris Gunter,2,Wales,RB,Chris Gunter,180cm,71kg,,0.333,6.0,0.667,8.333,0.277,0.02,0.043,0.5,20.4,0.0,0.0,1408333.0,1989-07-21,35.0,180.0
71,Ben Davies,4,Wales,LCB,Ben Davies,181cm,76kg,(Age: 31-342d),0.25,10.5,2.25,15.075,0.49,0.09,0.015,0.047,18.525,0.0,0.0,20000000.0,1993-04-24,31.0,181.0
10642,Jonathan Williams,18,Wales,AM,Jonny Williams,168cm,59kg,(Age: 31-174d),2.333,13.667,4.333,28.667,0.833,0.247,0.15,0.52,14.9,0.0,0.0,850000.0,1993-10-09,31.0,168.0
7175,Sorba Thomas,22,Wales,RW,Sorba Thomas,185cm,73kg,(Age: 25-222d),3.667,36.0,10.0,27.8,0.89,0.25,0.08,0.3,19.6,1.0,1.0,616666.0,1999-01-25,26.0,185.0
201,Danny Ward,12,Wales,GK,Danny Ward,191cm,87kg,(Age: 31-283d),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6545454.0,1993-06-22,31.0,191.0
137,Daniel James,20,Wales,CF,Daniel James,179cm,78kg,(Age: 27-142d),3.333,36.333,13.667,37.633,1.743,0.65,0.11,0.307,16.6,0.0,0.0,16327272.0,1997-11-10,27.0,171.0
7654,Tom Lockyer,17,Wales,RCB,Tom Lockyer,184cm,69kg,,1.25,14.0,3.0,20.167,0.473,0.097,0.037,0.177,11.9,0.0,0.0,971428.0,1994-12-03,30.0,185.0
13802,Daizen Maeda,25,Japan,CF,Daizen Maeda,173cm,67kg,(Age: 27-163d),8.75,45.5,21.0,42.25,2.32,1.0,0.153,0.348,,0.75,0.75,800000.0,1997-10-20,27.0,173.0
9981,Ritsu Doan,8,Japan,RW,Ritsu Doan,172cm,69kg,(Age: 26-289d),5.0,45.333,17.333,39.067,2.313,0.917,0.113,0.28,19.9,0.0,0.0,5868181.0,1998-06-16,26.0,172.0
10704,Kaoru Mitoma,9,Japan,LW,Kaoru Mitoma,178cm,71kg,(Age: 27-316d),8.667,37.667,21.333,54.767,2.467,1.38,0.227,0.413,,0.0,0.0,875000.0,1997-05-20,27.0,178.0
2086,Daniel Schmidt,23,Japan,GK,Daniel Schmidt,197cm,84kg,(Age: 33-057d),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,735714.0,1992-02-03,33.0,197.0
13796,Miki Yamane,2,Japan,RB,Miki Yamane,178cm,68kg,(Age: 31-100d),2.75,22.75,8.0,36.55,0.713,0.253,0.13,0.345,,0.0,0.0,760714.0,1993-12-22,31.0,178.0
8927,Ao Tanaka,17,Japan,CM,Ao Tanaka,178cm,68kg,(Age: 26-203d),1.75,31.0,9.25,29.35,1.45,0.43,0.045,0.152,,0.0,0.0,887500.0,1998-09-10,26.0,180.0
55,Takumi Minamino,10,Japan,LW,Takumi Minamino,174cm,67kg,(Age: 30-075d),2.0,13.0,4.0,30.8,1.65,0.51,0.15,0.5,18.3,0.0,0.0,8600000.0,1995-01-16,30.0,172.0
2095,Daichi Kamada,15,Japan,LW,Daichi Kamada,180cm,72kg,(Age: 28-239d),5.75,40.0,12.333,30.067,1.687,0.527,0.093,0.353,16.367,0.25,0.25,11500000.0,1996-08-05,28.0,180.0
13797,Shogo Taniguchi,3,Japan,LCB,Shogo Taniguchi,182cm,69kg,(Age: 33-260d),2.0,11.0,3.333,28.0,0.377,0.113,0.167,0.6,,0.0,0.0,2057142.0,1991-07-15,33.0,183.0
4928,Wataru Endo,6,Japan,CM,Wataru Endo,178cm,74kg,(Age: 32-051d),2.667,31.0,13.0,43.533,1.083,0.46,0.083,0.19,18.1,0.0,0.0,4231818.0,1993-02-09,32.0,178.0
2094,Junya Ito,14,Japan,RWB,Junya Ito,176cm,68kg,(Age: 32-023d),6.5,59.5,25.0,42.0,1.985,0.83,0.155,0.36,,0.0,0.0,4511111.0,1993-03-09,32.0,176.0
2099,Takuma Asano,18,Japan,RW,Takuma Asano,171cm,69kg,(Age: 30-142d),6.25,23.0,7.0,28.2,1.76,0.505,0.045,0.135,16.95,0.25,0.25,2122222.0,1994-11-10,30.0,173.0
2088,Maya Yoshida,22,Japan,MCB,Maya Yoshida,189cm,81kg,(Age: 36-220d),0.75,7.75,2.25,32.55,0.532,0.2,0.077,0.375,11.3,0.0,0.0,5080000.0,1988-08-24,36.0,189.0
2092,Gaku Shibasaki,7,Japan,CM,Gaku Shibasaki,175cm,63kg,(Age: 32-308d),1.667,16.0,5.333,33.8,0.653,0.21,0.107,0.243,,0.0,0.0,1541666.0,1992-05-28,32.0,174.0
4230,Eiji Kawashima,1,Japan,GK,Eiji Kawashima,185cm,73kg,(Age: 42-012d),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,250000.0,1983-03-20,42.0,185.0
13799,Shuichi Gonda,12,Japan,GK,Shūichi Gonda,188cm,83kg,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,508333.0,1989-03-03,36.0,187.0
11841,Hidemasa Morita,13,Japan,CM,Hidemasa Morita,177cm,73kg,(Age: 29-326d),1.0,14.5,3.5,22.9,0.64,0.152,0.09,0.41,,0.0,0.0,1581250.0,1995-05-10,29.0,177.0
13798,Yuto Nagatomo,5,Japan,LWB,Yuto Nagatomo,170cm,68kg,(Age: 38-201d),0.25,4.0,1.5,29.633,0.258,0.102,0.037,0.1,27.6,0.0,0.0,1618750.0,1986-09-12,38.0,170.0
13801,Yuki Soma,24,Japan,LW,Yuki Soma,165cm,68kg,(Age: 28-035d),2.0,29.0,12.0,41.5,1.31,0.543,0.073,0.177,,0.0,0.0,470833.0,1997-02-25,28.0,166.0
13828,Shuto Machino,20,Japan,CF,Shuto Machino,184cm,77kg,(Age: 25-183d),8.0,56.5,21.0,35.6,2.85,1.06,0.135,0.375,,0.333,0.333,280000.0,1999-09-30,25.0,185.0
13800,Ayase Ueda,21,Japan,CF,Ayase Ueda,180cm,72kg,(Age: 26-203d),11.333,65.333,27.667,41.933,4.097,1.707,0.173,0.413,,0.333,0.333,466666.0,1998-08-28,26.0,182.0
2090,Hiroki Sakai,19,Japan,RB,Hiroki Sakai,185cm,69kg,(Age: 34-354d),0.5,6.75,1.75,22.425,0.42,0.113,0.055,0.223,14.8,0.0,0.0,6181818.0,1990-04-12,34.0,185.0
4925,Hiroki Ito,26,Japan,LCB,Hiroki Ito,186cm,78kg,(Age: 25-324d),1.667,11.0,2.0,18.2,0.42,0.08,0.09,0.5,22.5,0.0,0.0,665625.0,1999-05-12,25.0,188.0
2087,Takehiro Tomiyasu,16,Japan,RCB,Takehiro Tomiyasu,185cm,78kg,(Age: 26-147d),1.0,15.333,2.667,17.9,0.6,0.103,0.06,0.333,17.1,0.0,0.0,12016666.0,1998-11-05,26.0,188.0
66,Toby Alderweireld,2,Belgium,RCB,Toby Alderweireld,187cm,79kg,(Age: 36-030d),1.0,15.0,4.0,27.1,0.493,0.13,0.077,0.277,11.733,0.0,0.0,28333333.0,1989-03-02,36.0,187.0
9806,Lois Openda,24,Belgium,CF,Loïs Openda,175cm,73kg,(Age: 25-044d),10.667,86.0,39.5,45.3,3.025,1.39,0.155,0.34,,0.667,1.0,2938461.0,2000-02-16,25.0,177.0
1694,Eden Hazard,10,Belgium,AM,Eden Hazard,173cm,74kg,,5.0,32.5,16.0,55.125,1.882,1.005,0.12,0.247,16.675,1.0,1.0,87533333.0,1991-01-07,34.0,175.0
1387,Yannick Carrasco,11,Belgium,LW,Yannick Carrasco,180cm,72kg,(Age: 31-209d),7.5,48.5,19.75,39.1,2.397,0.973,0.1,0.278,18.567,2.25,2.25,29653846.0,1993-09-04,31.0,181.0
4674,Axel Witsel,6,Belgium,CM,Axel Witsel,186cm,81kg,(Age: 36-079d),2.5,21.75,5.5,23.725,0.925,0.218,0.122,0.482,20.275,0.0,0.0,21458333.0,1989-01-12,36.0,186.0
5139,Romelu Lukaku,9,Belgium,CF,Romelu Lukaku,192cm,91kg,(Age: 31-323d),16.75,70.0,32.25,45.575,2.58,1.172,0.193,0.43,13.625,3.25,3.25,86500000.0,1993-05-13,31.0,191.0
4112,Wout Faes,4,Belgium,RCB,Wout Faes,188cm,79kg,(Age: 26-363d),1.5,16.5,5.0,25.0,0.465,0.135,0.135,0.72,12.2,0.0,0.0,3221428.0,1998-04-03,26.0,187.0
22,Kevin De Bruyne,7,Belgium,RW,Kevin De Bruyne,181cm,69kg,(Age: 33-277d),9.0,70.75,24.0,34.875,3.163,1.1,0.102,0.3,21.475,1.0,1.25,122000000.0,1991-06-28,33.0,181.0
4979,Koen Casteels,13,Belgium,GK,Koen Casteels,196cm,86kg,(Age: 32-280d),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10954545.0,1992-06-25,32.0,197.0
9090,Charles De Ketelaere,22,Belgium,AM,Charles De Ketelaere,192cm,78kg,(Age: 24-022d),6.0,56.0,24.0,43.05,2.08,0.89,0.135,0.315,,0.0,0.0,10070000.0,2001-03-10,24.0,192.0
4498,Amadou Onana,18,Belgium,CM,Amadou Onana,187cm,76kg,(Age: 23-228d),1.5,13.0,5.5,42.75,0.825,0.35,0.125,0.285,14.5,0.0,0.0,3400000.0,2001-08-16,23.0,195.0
241,Leander Dendoncker,19,Belgium,DM,Leander Dendoncker,178cm,83kg,(Age: 29-351d),2.25,22.75,8.25,38.275,0.963,0.38,0.11,0.332,14.975,0.0,0.0,24285714.0,1995-04-15,29.0,188.0
4021,Jérémy Doku,25,Belgium,RW,Jeremy Doku,171cm,59kg,(Age: 22-309d),2.0,18.667,5.0,33.133,1.53,0.513,0.13,0.373,16.65,0.0,0.0,11636363.0,2002-05-27,22.0,173.0
67,Jan Vertonghen,5,Belgium,LCB,Jan Vertonghen,189cm,86kg,(Age: 37-342d),0.5,14.5,4.75,35.025,0.593,0.188,0.08,0.25,15.65,0.0,0.0,18576923.0,1987-04-24,37.0,189.0
11994,Dries Mertens,14,Belgium,CF,Dries Mertens,169cm,60kg,(Age: 37-330d),11.25,65.5,24.75,37.975,3.44,1.29,0.173,0.445,18.5,0.5,0.5,17818181.0,1987-05-06,37.0,169.0
112,Michy Batshuayi,23,Belgium,CF,Michy Batshuayi,185cm,78kg,(Age: 31-181d),8.0,56.0,23.0,45.0,2.605,1.115,0.135,0.29,17.0,2.0,3.0,21961538.0,1993-10-02,31.0,185.0
1960,Timothy Castagne,21,Belgium,LB,Timothy Castagne,180cm,79kg,(Age: 29-117d),2.0,13.0,4.75,37.575,0.595,0.215,0.165,0.425,13.1,0.0,0.0,17818181.0,1995-12-05,29.0,185.0
9091,Hans Vanaken,20,Belgium,AM,Hans Vanaken,194cm,79kg,(Age: 32-220d),11.25,57.0,21.5,37.0,1.925,0.72,0.125,0.325,,3.0,3.5,11291666.0,1992-08-24,32.0,195.0
9796,Arthur Theate,3,Belgium,LCB,Arthur Theate,191cm,81kg,(Age: 24-311d),2.5,16.0,6.0,41.55,0.58,0.215,0.185,0.415,16.7,0.0,0.0,3950000.0,2000-05-25,24.0,185.0
215,Youri Tielemans,8,Belgium,CM,Youri Tielemans,177cm,72kg,(Age: 27-329d),4.5,47.75,14.5,31.625,1.89,0.597,0.078,0.242,24.25,1.0,1.0,40538461.0,1997-05-07,27.0,177.0
4669,Thomas Meunier,15,Belgium,RB,Thomas Meunier,190cm,87kg,(Age: 33-201d),1.5,13.25,4.5,36.275,0.81,0.275,0.087,0.273,15.625,0.0,0.0,20250000.0,1991-09-12,33.0,191.0
455,Leandro Trossard,17,Belgium,LW,Leandro Trossard,172cm,60kg,(Age: 30-118d),8.0,57.333,20.0,34.033,2.057,0.703,0.103,0.313,17.767,0.5,1.0,13090909.0,1994-12-04,30.0,172.0
9071,Simon Mignolet,12,Belgium,GK,Simon Mignolet,193cm,87kg,(Age: 37-026d),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9111111.0,1988-03-06,37.0,193.0
