playerId,playerName,shirtNumber,playerTeam,playerRole,Full Name,Height,Weight,Age Info,goals,shots,shots_on_target,shots_on_target_pct,shots_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,average_shot_distance,pens_made,pens_att,tackles,tackles_won,blocks,interceptions,clearances,errors,Market Value,birth_date,age,height_cm
13954,Abdulaziz Hatem,6,Qatar,CM,Abdulaziz Hatem,179cm,69kg,(Age: 34-230d),2.0,,,,,,,,,0.0,0.0,,,,,,,583333,1990-10-28,34,183
13941,Saad Al-Sheeb,1,Qatar,GK,Saad Al Sheeb,185cm,67kg,(Age: 35-116d),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,462500,1990-02-19,35,188
13958,Mohammed Waad,4,Qatar,DM,Mohammed Waad,183cm,68kg,(Age: 25-270d),0.0,1.0,0.0,0.0,0.17,0.0,0.0,,,0.0,0.0,,5.0,,12.0,,,129166,1999-09-18,25,183
13960,Hasan Al-Haydos,10,Qatar,CM,,,,,,,,,,,,,,,,,,,,,,2008333,,,
13950,Musab Khoder,13,Qatar,RB,,,,,,,,,,,,,,,,,,,,,,215000,,,
13959,Mustafa Mashaal,26,Qatar,CM,,,,,,,,,,,,,,,,,,,,,,33333,,,
13943,Yousef Hassan,21,Qatar,GK,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,115000,,,
13945,Boualem Khoukhi,16,Qatar,MCB,Boualem Khoukhi,183cm,76kg,(Age: 34-341d),1.0,,,,,,,,,0.0,0.0,,,,,,,741666,,,
13953,Karim Boudiaf,12,Qatar,CM,Karim Boudiaf,187cm,63kg,(Age: 34-272d),1.0,,,,,,,,,0.0,0.0,,,,,,,770833,,,
13951,Homam Ahmed,14,Qatar,LWB,Homam Ahmed,186cm,71kg,(Age: 25-294d),,,,,,,,,,,,,,,,,,162500,1999-08-25,25,188
13946,Pedro Miguel,2,Qatar,RCB,Ró-Ró,188cm,76kg,(Age: 34-313d),,,,,,,,,,,,,,,,,,,,,
13944,Abdelkarim Hassan,3,Qatar,LCB,Abdelkarim Hassan,177cm,78kg,(Age: 31-291d),1.0,12.0,5.0,41.7,1.22,0.51,0.08,0.2,31.4,0.0,0.0,23.0,17.0,15.0,20.0,28.0,0.0,831250,,,
13964,Ahmed Alaaeldin,7,Qatar,CF,Ahmed Alaaeldin,180cm,67kg,(Age: 32-135d),,,,,,,,,,,,,,,,,,479166,,,
13948,Bassam Al-Rawi,15,Qatar,RCB,Bassam Al-Rawi,175cm,68kg,(Age: 27-181d),,,,,,,,,,,,,,,,,,379166,,,
11960,Enner Valencia,13,Ecuador,LW,Enner Valencia,174cm,73kg,(Age: 35-223d),6.25,53.25,19.75,37.525,3.09,1.185,0.098,0.245,17.95,1.0,1.5,18.5,15.0,14.5,7.75,6.5,0.0,3433333,,,
2134,Moises Caicedo,23,Ecuador,CM,Moisés Caicedo,178cm,74kg,(Age: 23-225d),1.0,10.5,3.0,29.1,1.34,0.395,0.095,0.375,22.1,0.0,0.0,16.5,11.5,13.0,8.5,7.0,0.0,3250000,,,
3750,Ayrton Preciado,9,Ecuador,LW,Ayrton Preciado,182cm,72kg,(Age: 30-333d),3.0,9.0,4.0,44.4,1.71,0.76,0.33,0.75,16.6,0.0,0.0,4.0,1.0,3.0,3.0,2.0,0.0,1933333,,,
1287,José Cifuentes,5,Ecuador,CM,José Cifuentes,175cm,72kg,(Age: 26-095d),3.25,51.333,15.667,30.267,2.437,0.723,0.08,0.247,20.133,0.0,0.0,51.0,31.667,29.0,18.0,16.333,0.0,2255555,,,
7571,Alan Franco,21,Ecuador,CM,Alan Franco,183cm,77kg,(Age: 26-298d),1.0,12.333,4.333,32.1,0.947,0.307,0.047,0.11,14.533,0.0,0.0,20.333,13.0,12.0,9.667,6.0,0.0,1600000,,,
9837,Jackson Porozo,25,Ecuador,RCB,Jackson Porozo,192cm,84kg,(Age: 24-315d),1.0,6.5,2.0,43.35,0.405,0.17,0.335,0.5,8.55,0.0,0.0,23.0,17.5,18.5,30.0,69.5,0.5,660000,,,
13938,William Pacho,6,Ecuador,LCB,,,,,,,,,,,,,,,,,,,,,,1350000,2001-10-16,23,187
13936,Robert Arboleda,4,Ecuador,RCB,Robert Arboleda,180cm,69kg,(Age: 33-236d),0.75,14.75,4.5,30.425,0.87,0.258,0.05,0.165,14.325,0.0,0.0,23.75,15.25,22.25,21.75,99.5,0.5,1937500,,,
13939,Djorkaeff Reasco,24,Ecuador,CF,Djorkaeff Reasco,172cm,71kg,(Age: 26-148d),4.0,18.0,7.0,38.9,3.26,1.27,0.06,0.14,21.8,0.5,0.5,6.0,3.0,3.0,0.0,3.0,0.0,221428,,,
13937,Angelo Preciado,17,Ecuador,RWB,Ángelo Preciado,173cm,73kg,(Age: 27-117d),1.0,4.5,1.0,20.0,0.585,0.17,0.0,0.0,19.4,0.0,0.0,17.0,13.0,12.0,9.0,22.5,0.5,1287500,,,
3734,Félix Torres,2,Ecuador,MCB,Félix Torres Caicedo,187cm,78kg,(Age: 28-155d),1.5,12.0,2.333,20.5,0.55,0.107,0.08,0.417,12.1,0.0,0.0,21.0,11.667,19.667,40.667,85.333,0.667,1872727,,,
5195,Piero Hincapie,3,Ecuador,LCB,Piero Hincapié,182cm,64kg,(Age: 23-157d),1.0,9.0,1.0,11.1,0.46,0.05,0.11,1.0,15.1,0.0,0.0,33.0,23.0,34.0,33.0,56.0,2.0,3971428,,,
1034,Jhegson Méndez,20,Ecuador,CM,Jhegson Méndez,171cm,69kg,(Age: 28-050d),,,,,,,,,,,,,,,,,,995000,,,
13933,Moises Ramirez,12,Ecuador,GK,Moisés Ramírez,188cm,74kg,(Age: 24-279d),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,315000,,,
13940,Kevin Rodriguez,26,Ecuador,CF,,,,,,,,,,,,,,,,,,,,,,,,,
1406,Pervis Estupinan,7,Ecuador,LWB,Pervis Estupiñán,175cm,78kg,(Age: 27-145d),1.0,14.333,3.667,29.7,0.713,0.227,0.017,0.167,18.667,0.0,0.0,52.333,28.0,17.667,39.333,34.667,3.333,8946153,,,
13049,Gonzalo Plata,19,Ecuador,RW,Gonzalo Plata,178cm,72kg,(Age: 24-226d),3.5,41.0,14.5,35.35,1.805,0.64,0.08,0.23,17.5,0.0,0.0,66.0,36.5,40.0,15.5,10.0,1.0,2530000,2000-11-01,24,178
3519,Michael Estrada,11,Ecuador,CF,Michael Estrada,188cm,86kg,(Age: 29-069d),4.667,33.0,9.333,26.3,2.677,0.67,0.117,0.4,19.0,0.667,0.667,6.0,3.667,4.333,1.667,6.333,0.0,2180000,,,
1166,Xavier Arreaga,14,Ecuador,LCB,Xavier Arreaga,183cm,83kg,(Age: 30-260d),0.75,7.0,2.75,35.825,0.377,0.133,0.077,0.165,15.45,0.0,0.0,26.0,16.0,20.75,32.5,67.25,0.75,1072500,,,
1279,Diego Palacios,18,Ecuador,LB,Diego Palacios,165cm,66kg,(Age: 25-338d),0.333,12.333,3.333,20.667,0.593,0.15,0.023,0.1,22.3,0.0,0.0,61.0,40.0,20.333,41.333,39.333,0.0,1562500,1999-07-12,25,169
13934,Alexander Dominguez,22,Ecuador,GK,Alexander Domínguez,195cm,76kg,(Age: 38-010d),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,,781250,1987-06-05,38,195
13935,Hernan Galindez,1,Ecuador,GK,Hernán Galíndez,189cm,89kg,(Age: 38-077d),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,,0.0,,,611111,,,
3441,Ángel Mena,15,Ecuador,RW,Ángel Mena,170cm,69kg,(Age: 37-145d),13.0,46.75,20.75,45.575,2.118,0.955,0.18,0.38,17.85,5.0,6.0,23.5,13.0,14.25,9.0,10.5,0.25,2390909,,,
3460,Romario Ibarra,10,Ecuador,LW,Romario Ibarra,175cm,77kg,(Age: 30-264d),2.0,23.0,7.333,30.667,1.883,0.543,0.08,0.28,17.567,0.0,0.0,19.667,10.0,10.0,5.0,3.667,0.0,1117500,,,
6596,Jeremy Sarmiento,16,Ecuador,AM,Jeremy Sarmiento,183cm,73kg,(Age: 22-364d),,,,,,,,,,,,,,,,,,300000,,,
4560,Carlos Gruezo,8,Ecuador,DM,Carlos Gruezo,,,(Age: 25-093d),,,,,,,,,,,,,,,,,,3209090,,,
13901,Pape Abou Cissé,4,Senegal,RCB,Pape Abou Cissé,197cm,83kg,(Age: 29-274d),1.25,13.0,3.0,23.1,0.93,0.21,0.0,0.0,13.0,0.0,0.0,15.0,13.0,7.0,27.0,87.0,0.0,4900000,,,
14046,Moussa N'Diaye,10,Senegal,LB,,,,,,,,,,,,,,,,,,,,,,383333,,,
428,Ismaïla Sarr,18,Senegal,RM,Ismaila Sarr,180cm,69kg,(Age: 27-110d),7.75,55.0,19.25,34.875,1.935,0.675,0.125,0.363,16.925,0.75,1.0,23.0,16.5,14.75,15.5,9.0,0.0,22653846,,,
13055,Nicolas Jackson,7,Senegal,RW,Nicolas Jackson,186cm,78kg,(Age: 23-360d),1.0,15.0,5.0,33.3,1.87,0.62,0.07,0.2,,0.0,0.0,,7.0,,3.0,,,275000,,,
9700,Moustapha Name,24,Senegal,CM,Moustapha Name,185cm,69kg,(Age: 30-041d),3.667,27.667,9.667,31.067,1.397,0.413,0.097,0.233,,0.667,1.0,,,,,,,630000,,,
8552,Mamadou Loum,25,Senegal,DM,Mamadou Loum,193cm,86kg,(Age: 28-167d),2.0,33.0,8.0,24.2,1.28,0.31,0.06,0.25,21.3,0.0,0.0,49.0,22.0,30.0,37.0,68.0,1.0,3140909,,,
2144,Iliman Ndiaye,13,Senegal,AM,Iliman Ndiaye,180cm,74kg,(Age: 25-101d),7.0,37.0,16.0,43.2,1.82,0.79,0.19,0.44,13.8,0.0,0.0,49.0,29.0,31.0,7.0,5.0,0.0,450000,,,
13032,Pathe Ciss,11,Senegal,CM,Pathé Ciss,178cm,71kg,(Age: 31-091d),2.667,25.333,6.667,30.067,1.433,0.403,0.143,0.433,26.8,0.0,0.0,31.0,25.333,16.0,33.667,27.0,0.0,566666,,,
12154,Famara Diedhiou,19,Senegal,CF,Famara Diedhiou,192cm,79kg,(Age: 32-182d),11.0,68.5,27.0,43.45,2.452,1.03,0.167,0.377,15.333,1.0,1.5,24.333,11.0,20.0,5.25,55.667,0.333,4590000,,,
9993,Kalidou Koulibaly,3,Senegal,RCB,Kalidou Koulibaly,195cm,88kg,(Age: 33-360d),1.25,13.5,5.0,38.4,0.492,0.177,0.102,0.18,12.725,0.0,0.0,46.75,30.0,42.5,32.25,89.75,1.0,60333333,,,
7988,Boulaye Dia,9,Senegal,CF,Boulaye Dia,180cm,74kg,(Age: 28-211d),7.25,38.25,14.75,39.325,2.175,0.845,0.152,0.385,14.875,1.5,1.5,14.5,8.25,9.5,7.0,16.5,0.25,8350000,,,
3848,Abdou Diallo,22,Senegal,LCB,Abdou Diallo,183cm,72kg,(Age: 29-042d),0.25,5.25,1.75,32.5,0.3,0.1,0.025,0.083,11.6,0.0,0.0,23.5,14.0,14.5,17.75,44.5,0.5,25300000,1996-05-04,29,186
3998,Alfred Gomis,23,Senegal,GK,Alfred Gomis,196cm,86kg,(Age: 31-283d),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.25,0.5,1.25,9.75,1.25,5044444,,,
6919,Timothy Dieng,1,Senegal,GK,Seny Dieng,191cm,89kg,(Age: 30-204d),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.333,0.0,0.333,14.5,2.0,600000,,,
4152,Pape Sarr,17,Senegal,CM,Pape Matar Sarr,180cm,68kg,(Age: 22-274d),2.0,31.0,8.0,25.8,1.53,0.395,0.065,0.255,28.45,0.0,0.0,45.0,27.5,28.5,28.0,19.0,0.0,13250000,,,
214,Nampalys Mendy,6,Senegal,CM,Nampalys Mendy,168cm,68kg,(Age: 32-357d),0.0,2.5,1.5,75.0,0.17,0.105,0.0,0.0,26.9,0.0,0.0,19.0,11.5,9.5,12.5,9.5,0.5,6863636,1992-06-23,32,168
3903,Krépin Diatta,15,Senegal,LM,Krépin Diatta,175cm,69kg,(Age: 26-110d),8.0,49.5,22.5,45.35,2.82,1.285,0.16,0.355,17.75,0.0,0.0,32.0,23.0,15.0,10.0,4.5,0.0,13066666,,,
2059,Edouard Mendy,16,Senegal,GK,Edouard Mendy,197cm,86kg,(Age: 33-106d),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.333,0.0,0.0,0.333,9.0,2.667,15461538,,,
9545,Formose Mendy,2,Senegal,RCB,Formose Mendy,191cm,76kg,(Age: 24-164d),0.5,14.0,4.0,28.6,0.48,0.14,0.07,0.25,,0.0,0.0,,38.0,,68.0,,,380000,,,
3996,Bamba Dieng,20,Senegal,CF,Bamba Dieng,178cm,78kg,(Age: 25-084d),7.0,36.0,18.0,50.0,3.32,1.66,0.17,0.33,11.9,1.0,1.0,17.0,11.0,7.0,5.0,8.0,0.0,3550000,,,
3978,Pape Gueye,26,Senegal,DM,Pape Gueye,187cm,64kg,(Age: 26-142d),0.5,28.333,4.667,17.533,1.363,0.22,0.04,0.167,23.3,0.0,0.0,43.5,22.0,20.0,38.0,25.0,0.0,4240909,1999-01-24,26,189
3895,Ismail Jakobs,14,Senegal,LB,Ismail Jakobs,183cm,74kg,(Age: 25-302d),1.0,15.0,5.333,32.433,0.83,0.287,0.053,0.13,15.833,0.0,0.0,30.333,16.333,19.667,19.0,32.333,0.0,3145833,,,
3858,Idrissa Gueye,5,Senegal,CM,Idrissa Gana Gueye,174cm,63kg,(Age: 35-262d),1.5,18.25,5.25,28.6,0.903,0.268,0.083,0.263,22.325,0.0,0.0,82.5,48.5,32.5,37.75,21.25,1.0,,,,
13228,Youssouf Sabaly,21,Senegal,RB,Youssouf Sabaly,174cm,68kg,(Age: 32-102d),0.25,8.5,1.75,21.35,0.48,0.103,0.02,0.125,20.625,0.0,0.0,30.75,21.5,17.25,26.5,34.5,0.75,7450000,,,
8584,Fode Ballo-Toure,12,Senegal,LB,Fodé Ballo-Touré,182cm,69kg,(Age: 28-163d),0.0,3.25,1.25,41.25,0.292,0.128,0.0,0.0,14.075,0.0,0.0,30.25,21.75,10.75,15.25,24.75,0.75,6807692,,,
474,Cheikhou Kouyaté,8,Senegal,CM,Cheikhou Kouyaté,193cm,79kg,,0.5,14.5,3.5,21.325,0.58,0.145,0.045,0.25,16.5,0.0,0.0,59.0,35.0,36.5,32.25,63.75,0.75,8909090,,,
8327,Marten De Roon,15,Netherlands,CM,Marten de Roon,185cm,76kg,(Age: 34-078d),2.0,24.5,5.0,20.325,0.793,0.162,0.073,0.368,23.4,0.25,0.25,82.0,47.5,40.0,53.25,43.75,0.25,20777777,,,
11094,Cody Gakpo,8,Netherlands,AM,Cody Gakpo,187cm,78kg,(Age: 26-039d),8.667,54.0,20.0,37.267,2.837,1.053,0.16,0.43,17.233,0.333,0.333,18.667,9.333,19.333,13.0,12.667,0.333,6640000,,,
8026,Daley Blind,17,Netherlands,LWB,Daley Blind,180cm,72kg,(Age: 35-098d),1.75,24.0,6.75,26.75,0.91,0.242,0.06,0.202,21.2,0.0,0.0,42.75,24.25,30.0,40.25,49.75,2.25,18850000,,,
8134,Denzel Dumfries,22,Netherlands,RWB,Denzel Dumfries,188cm,79kg,(Age: 29-058d),4.5,37.75,12.5,33.225,1.425,0.483,0.105,0.315,12.35,0.25,0.25,48.75,27.0,31.0,32.0,57.25,0.25,12083333,,,
84,Steven Bergwijn,7,Netherlands,CF,Steven Bergwijn,178cm,73kg,(Age: 27-250d),3.0,19.5,9.0,45.675,1.915,0.907,0.168,0.367,16.7,0.25,0.25,9.0,4.75,7.25,3.25,6.75,0.0,22166666,,,
8342,Memphis Depay,10,Netherlands,CF,Memphis,176cm,73kg,(Age: 31-122d),12.75,78.25,32.75,43.175,3.393,1.445,0.13,0.302,20.725,3.25,4.0,7.5,4.75,9.0,4.75,2.5,0.25,44666666,,,
1812,Luuk de Jong,9,Netherlands,CF,Luuk de Jong,188cm,79kg,(Age: 34-292d),11.0,66.25,28.75,41.075,3.133,1.318,0.167,0.402,10.825,0.0,0.0,21.25,11.5,16.0,5.25,24.5,0.25,9454545,,,
8123,Stefan De Vrij,6,Netherlands,RCB,Stefan de Vrij,189cm,78kg,(Age: 33-130d),1.75,17.5,4.75,27.9,0.608,0.16,0.098,0.312,11.0,0.0,0.0,31.0,19.75,26.75,37.5,90.75,0.5,49300000,,,
4586,Jeremie Frimpong,26,Netherlands,RB,Jeremie Frimpong,172cm,67kg,(Age: 24-187d),1.333,11.333,5.333,47.333,0.653,0.323,0.127,0.263,19.2,0.0,0.0,32.0,12.333,24.0,8.667,40.0,2.0,7211111,2000-12-10,24,172
3861,Xavi Simons,25,Netherlands,AM,Xavi Simons,168cm,60kg,(Age: 22-055d),,,,,,,,,,,,,,,,,,833333,,,
8032,Kenneth Taylor,24,Netherlands,CM,Kenneth Taylor,178cm,73kg,(Age: 23-030d),5.0,21.333,9.667,43.667,1.513,0.66,0.163,0.357,17.1,2.0,2.333,14.0,17.667,10.0,17.0,3.0,0.0,2343750,,,
5009,Wout Weghorst,19,Netherlands,CF,Wout Weghorst,197cm,83kg,(Age: 32-312d),11.0,59.25,25.75,41.475,2.34,0.993,0.14,0.33,13.0,1.75,2.25,14.5,8.0,15.0,3.5,20.0,0.25,18607142,,,
3315,Vincent Janssen,18,Netherlands,CF,Vincent Janssen,180cm,78kg,(Age: 31-000d),2.667,45.0,17.0,36.933,3.707,1.383,0.073,0.193,16.967,0.0,0.333,8.667,5.333,7.0,1.667,2.667,0.0,7136363,,,
10703,Tyrell Malacia,16,Netherlands,LB,Tyrell Malacia,175cm,68kg,(Age: 25-302d),0.333,25.0,5.0,26.233,0.913,0.197,0.007,0.037,21.767,0.0,0.0,57.0,38.333,22.0,31.667,39.667,0.333,3613333,,,
8033,Davy Klaassen,14,Netherlands,AM,Davy Klaassen,185cm,78kg,(Age: 32-114d),9.333,41.0,18.0,43.7,1.653,0.73,0.21,0.497,13.9,0.667,1.667,39.333,25.667,30.333,23.333,24.667,0.667,16727272,,,
11099,Justin Bijlow,13,Netherlands,GK,Justin Bijlow,188cm,73kg,(Age: 27-144d),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.75,1.0,5.5,0.75,4980769,,,
9093,Noa Lang,12,Netherlands,LW,Noa Lang,179cm,72kg,(Age: 25-363d),10.5,63.5,26.0,40.65,2.86,1.22,0.155,0.385,15.65,0.5,0.5,19.0,13.5,17.0,9.5,2.5,0.0,7180769,,,
8034,Steven Berghuis,11,Netherlands,AM,Steven Berghuis,180cm,74kg,(Age: 33-178d),13.25,90.0,34.25,37.55,3.223,1.235,0.103,0.285,20.85,4.25,5.0,32.75,19.75,14.75,9.5,7.0,0.25,12333333,,,
8020,Remko Pasveer,1,Netherlands,GK,Remko Pasveer,187cm,87kg,(Age: 41-219d),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,1.0,0.25,0.5,5.25,1.75,375000,,,
8045,Matthijs De Ligt,3,Netherlands,RCB,Matthijs de Ligt,189cm,88kg,(Age: 25-307d),2.75,26.75,9.75,39.9,0.905,0.333,0.12,0.28,13.85,0.0,0.0,32.5,17.5,35.75,29.75,100.75,1.0,59892857,1999-08-12,25,189
8326,Teun Koopmeiners,20,Netherlands,DM,Teun Koopmeiners,186cm,79kg,(Age: 27-107d),10.0,31.333,11.0,34.367,1.19,0.413,0.14,0.397,26.9,5.333,6.667,58.667,35.0,34.0,27.0,40.333,0.667,10250000,,,
11241,Andries Noppert,23,Netherlands,GK,Andries Noppert,203cm,83kg,(Age: 31-069d),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,1.0,145000,,,
37,Virgil van Dijk,4,Netherlands,MCB,Virgil van Dijk,193cm,87kg,(Age: 33-342d),4.0,32.333,12.0,37.0,0.89,0.33,0.127,0.357,12.667,0.0,0.0,25.667,16.667,23.333,37.0,158.667,1.0,72083333,1991-07-08,33,195
284,Nathan Aké,5,Netherlands,LCB,Nathan Aké,180cm,74kg,(Age: 30-117d),2.25,14.5,4.5,33.325,0.598,0.193,0.243,0.698,10.625,0.0,0.0,30.75,17.5,25.0,21.25,109.75,0.0,28538461,,,
8022,Jurrien Timber,2,Netherlands,RCB,Jurriën Timber,179cm,78kg,(Age: 23-363d),1.333,11.333,3.667,25.267,0.46,0.14,0.1,0.443,15.7,0.0,0.0,53.5,29.0,23.5,36.333,40.0,2.0,4905000,,,
1522,Frenkie de Jong,21,Netherlands,CM,Frenkie de Jong,180cm,68kg,(Age: 28-034d),2.75,16.75,7.0,53.6,0.58,0.245,0.24,0.425,14.3,0.0,0.0,39.75,24.25,19.25,30.75,24.25,1.5,62384615,,,
169,Jordan Pickford,1,England,GK,Jordan Pickford,185cm,77kg,(Age: 31-100d),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.75,1.75,15.5,4.75,29000000,,,
485,Nick Pope,13,England,GK,Nick Pope,190cm,76kg,(Age: 33-057d),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.667,0.667,0.0,2.333,24.667,2.667,11409090,,,
220,James Maddison,25,England,AM,James Maddison,175cm,72kg,(Age: 28-204d),8.25,75.5,25.0,33.225,2.745,0.912,0.108,0.318,22.45,0.25,0.5,44.75,24.5,17.0,10.25,8.5,0.5,43428571,,,
1377,Kieran Trippier,12,England,RB,Kieran Trippier,178cm,66kg,(Age: 34-269d),0.0,2.667,0.333,11.1,0.143,0.013,0.0,0.0,20.867,0.0,0.0,45.0,28.333,22.333,24.667,38.333,0.333,26076923,1990-09-19,34,173
118,Harry Maguire,6,England,LCB,Harry Maguire,188cm,78kg,(Age: 32-102d),1.75,30.0,9.75,33.575,0.935,0.315,0.058,0.175,13.175,0.0,0.0,32.75,19.5,31.75,50.0,134.25,2.75,45600000,,,
42,Trent Alexander-Arnold,18,England,RB,Trent Alexander-Arnold,175cm,68kg,(Age: 26-251d),2.25,44.75,12.25,27.925,1.387,0.383,0.05,0.18,24.15,0.0,0.0,53.0,32.25,23.0,43.0,60.5,1.5,71307692,,,
311,Callum Wilson,24,England,CF,Callum Wilson,180cm,66kg,(Age: 33-108d),10.5,49.0,19.0,38.275,2.005,0.77,0.18,0.465,12.95,1.75,2.0,10.5,7.25,11.75,4.5,14.0,0.0,21125000,1992-02-27,33,180
74,Eric Dier,15,England,RCB,Eric Dier,188cm,87kg,(Age: 31-151d),0.75,11.0,2.5,22.725,0.49,0.11,0.083,0.25,16.05,0.0,0.0,21.25,12.75,28.75,23.0,94.0,1.25,29307692,,,
123,Luke Shaw,3,England,LB,Luke Shaw,185cm,74kg,(Age: 29-338d),0.5,12.25,4.75,37.5,0.502,0.19,0.035,0.078,20.0,0.0,0.0,38.5,22.0,31.0,18.5,53.75,1.75,24892857,,,
136,Marcus Rashford,11,England,LW,Marcus Rashford,180cm,69kg,(Age: 27-227d),10.5,68.0,31.0,47.25,2.558,1.185,0.143,0.3,18.875,1.5,2.0,15.25,8.75,20.5,6.5,14.5,0.25,74916666,,,
4677,Jude Bellingham,22,England,CM,Jude Bellingham,186cm,74kg,(Age: 21-351d),2.667,42.667,10.667,25.0,1.623,0.403,0.06,0.237,18.867,0.0,0.0,63.667,40.667,45.667,32.0,28.667,0.0,35937500,2003-06-29,21,186
163,Bukayo Saka,17,England,RM,Bukayo Saka,178cm,64kg,(Age: 23-283d),5.667,56.333,17.667,31.367,1.897,0.6,0.083,0.27,17.033,0.667,0.667,33.667,19.333,20.333,19.667,22.0,0.0,36333333,,,
265,Declan Rice,4,England,CM,Declan Rice,185cm,77kg,(Age: 26-152d),1.5,26.0,7.25,27.625,0.75,0.21,0.05,0.195,21.4,0.25,0.5,88.25,49.25,44.0,62.75,51.0,0.25,43321428,,,
1,Harry Kane,9,England,CF,Harry Kane,188cm,73kg,(Age: 31-322d),18.75,109.75,43.25,40.125,3.465,1.378,0.143,0.36,17.95,3.5,3.5,16.25,8.75,21.75,5.25,30.75,0.0,130000000,,,
2052,Conor Gallagher,26,England,CM,Conor Gallagher,182cm,73kg,(Age: 25-129d),4.0,39.0,12.75,30.5,1.53,0.48,0.087,0.257,19.925,0.0,0.0,58.0,29.25,38.25,24.25,22.5,0.0,9725000,,,
47,Jordan Henderson,8,England,CM,Jordan Henderson,182cm,67kg,(Age: 34-363d),2.0,20.25,4.75,23.575,0.833,0.197,0.098,0.52,20.4,0.0,0.0,42.25,28.0,21.5,29.25,20.5,0.5,26545454,,,
16,Kyle Walker,2,England,RB,Kyle Walker-Peters,173cm,63kg,(Age: 28-063d),0.333,15.333,4.667,21.933,0.587,0.16,0.013,0.07,17.667,0.0,0.0,51.0,31.333,26.667,29.667,46.667,1.333,10083333,,,
